Subject,Number,Description
EIL,411,"Introduction to TESL/TEFL, including the concept of ""communicative competence"" and its components; teaching contexts; current research on teaching second language skills; syllabus, lesson, and materials design; and classroom techniques. 3 undergraduate hours. 4 graduate hours."
EIL,422,"Adaptation of modern English grammar to meet the needs of the ESL/EFL teacher, with special emphasis on the development of knowledge and skills that can be used in the analysis of the syntax, lexis and pragmatics of English. Same as ENGL 404. 3 undergraduate hours. 4 graduate hours."
EIL,445,"Introduces students to second language reading and writing, including theory, research, and practical application. 3 undergraduate hours. 4 graduate hours. May be taken concurrently with EIL 489 with consent of instructor. Prerequisite: Consent of instructor."
EIL,456,"The course goals are to develop an understanding of the characteristics of naturally-occurring talk; several methodologies for collecting and studying it; the relationship of talk to human conduct, society and culture, including cross-cultural (mis)understanding; and to relate these insights to language learning, language teaching methodologies, and materials design. 3 undergraduate hours. 4 graduate hours. Prerequisite: Consent of instructor."
EIL,460,"Studies theoretical and practical aspects of language testing. Examines purposes and types of language tests in relation to theories of language use and language teaching goals; discusses testing practices and procedures related to language teaching and language research; and includes the planning, writing, and administration of tests, basic descriptive statistics, and test analysis. A project is required. Same as EPSY 487, FR 460, GER 460, ITAL 460, PORT 460, and SPAN 460. 3 undergraduate hours. 4 graduate hours. Prerequisite: EIL 489 or consent of instructor."
EIL,486,"Introduction to linguistics for language teachers. Examines history and scope of linguistics, and introduces key elements of linguistic analysis with accompanying theoretical analyses of syntax, morphology, phonology, the lexicon, and pragmatics. Also covers the role of non-linguistic factors in communication and prioritizes the application of linguistics to instructed language learning settings. 3 undergraduate hours. 4 graduate hours."
EIL,488,Applications of linguistics to language learning with special emphasis on learning the sound system of English. The course involves face-to-face and online instruction. 3 undergraduate hours. 4 graduate hours. Prerequisite: Consent of instructor. A linguistics introductory course.
EIL,489,"General introduction to second language acquisition (SLA) theory. Examines nativist, interactionist and cognitive approaches to SLA and explores the role of learner characteristics. Same as FR 481, GER 489, ITAL 489, PORT 489, and SPAN 489. 3 undergraduate hours. 4 graduate hours. Prerequisite: An introductory course in linguistics or consent of instructor."
ENG,100,"Introduces students to the Grainger College of Engineering and their respective departments. Students will explore the academic environment at Illinois, developing skills that will aid in learning both inside and outside the classroom, build their leadership and collaborative skills, and build community inside and outside the classroom. Through class discussion and assignments, students will explore campus resources, examine and set goals for academic, personal, and professional development, and develop skills to work in diverse teams through a class project."
ENG,101,Introduction to undergraduate programs of study available in The Grainger College of Engineering and the potential careers of graduates of those programs. Intended for Division of General Studies students who may be interested in becoming an engineering major or other students who wish to explore engineering careers.
ENG,110,"Technical communications skills for engineering students. Emphasis on identifying content for audience for a given presentation setting, critiquing presentations on the basis of content, delivery, and visual aids, designing slides that increase effectiveness of communication and delivery of content, and interactions in teams to design slides and present topics. Same as TE 110."
ENG,111,"Prepares traditionally underrepresented minority engineering students towards a successful campus experience. Students will build their academic and professional understanding through the development of a working academic success final report. This final report will help students identify, understand, and prepare to exceed expectations of them on campus, in the engineering curriculum, and in professional interactions with faculty and industry. Prerequisite: Instructor Approval Required. Restricted to First time Freshmen."
ENG,177,"Provides first-year students with opportunities to participate in interdisciplinary courses designed to help explore what is means to be an engineer and develop skills required in the engineering workplace, be it team dynamics, leadership skills, intercultural competency, or communication techniques. Students will explore topic areas offered as separate sections under the course heading. Each section uses a hands-on, interactive, discussion/team-based approach. The courses use active learning exercises in addition to reflections, readings, and project work. May be repeated in the same or separate terms for a maximum of 4 hours."
ENG,191,"Global views of the engineering profession presented by guest speakers. Key factors for success in global engineering practice, including industrial values, economics, politics, language, cultural values, and social trends. Development of individual plans to engage in international education to enhance career preparation."
ENG,198,Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites. Approved for both letter and S/U grading. May be repeated in the same or separate terms if topics vary.
ENG,199,"Topics will vary. See class schedule. Approved for Letter and S/U grading. May be repeated in the same or separate semesters, if topics vary."
ENG,200,"Fundamental concepts of entrepreneurship, creativity and innovation will be explored within the context of new and existing businesses. Creative thinking and inventive problem solving will be emphasized. Same as TE 200."
ENG,211,"Engages engineering students in the development of learning skills for lifelong success and wellness. This course serves as exposure to a variety of study strategies and methods for making healthy choices for a balanced academic, personal, and professional life. Students build skills for a successful academic experience that will continue into professional settings. Prerequisite: Restricted to undergraduate engineering students only, including ABE and ChBE."
ENG,250,"Fundamentals of technology entrepreneurship and critical areas of the entrepreneurship process: creating a successful startup and transforming it into a sustainable business, validating an idea and taking it to market, evaluation of new ideas, forming high-performance teams, and financing a technology-based startup. Field trips to local startups, businesses, the University Research Park, and Enterprise Works incubator included along with in-depth case studies, and a hands-on class project. Same as TE 250."
ENG,298,Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites. Approved for both letter and S/U grading. May be repeated in the same or separate terms if topics vary.
ENG,300,Orientation required of off-campus transfer students in the College of Engineering. Prerequisite: Restricted to first time Transfer Engineering students.
ENG,315,"Service-learning dedicated to benefiting nonprofit organizations. Learning through inquiry, acquisition of skills and knowledge to address projects, and development of project and team skills. Student teams work on a project of importance proposed by and in partnership with each organization. Projects vary by term. See Class Schedule. May be repeated in the same term to a maximum of 6 hours. May be repeated in separate terms to a maximum of 12 hours."
ENG,333,"Personal creativity enhancement via exploration of the nature of creativity, how creativity works, and how to envision what others may not. Practice of techniques and processes to enhance personal and group creativity and to nurture a creative lifestyle. Application to a major term project providing the opportunity to move an idea, product, process or service from vision to reality. Same as TE 333."
ENG,360,"Fundamental concepts of entrepreneurship and commercialization of new technology in new and existing businesses. Guest speaker topics vary, but typically include: evaluation of technologies and business ideas in genera; commercializing new technologies; financing through private and public sources; legal issues; product development; marketing; international business issues. Same as TE 360. May be repeated in separate terms to a maximum of 2 hours, if topics vary; instructor approval required. Prerequisite: For undergraduate students only."
ENG,377,"Designed to support new Engineering Learning Assistants (ELAs). The purpose of the course is to provide pedagogical and mentorship training for ELAs to successfully teach. May be repeated if topics vary, in separate terms to a maximum of 2 undergraduate hours. Prerequisite: Instructor Approval Required."
ENG,398,Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites. Approved for both letter and S/U grading. May be repeated in the same or separate terms if topics vary.
ENG,411,"Serves as a weekly meeting and professional development for current Engineering Ambassadors members. The course provides instruction in preparing for and managing classroom visits as well as practice for presentation skills. In addition, guest speakers are brought in from campus to help with professional development of the members. Graduate members have additional responsibility to be team leaders and complete a project for the society. 1 undergraduate hour. 1 graduate hour. May be repeated. This course is repeatable for as long as a student is active in Engineering Ambassadors. As students progress through the program, they are still growing and developing as ambassadors. Students will benefit from hearing from the guest lectures, which vary each offering, and also act as mentors for younger members during classroom visits and in group activities during class. It is a benefit to both the older and younger members to have a variety of experiences in the class. Prerequisite: ENG 110 or instructor permission."
ENG,450,"Explore legal tools used in constructing and operating companies. Topics include: issues with business formation, intellectual property, NDA, contracts, and other corporate legal issues impacting startups. Same as TE 450. 3 undergraduate hours. 3 graduate hours."
ENG,451,"Guided experiential learning that facilitates the development of professional skills for students participating in career-related internships. Basic business skills such as reading a financial statement and annual report, understanding contracts, and understanding corporate strategy. Interpersonal skills necessary to succeed in industry such as networking, leadership, and communication. No graduate credit."
ENG,460,"Fundamental concepts of entrepreneurship and commercialization of new technology in new and existing engineering and high-tech businesses. Guest speaker topics vary, but typically include: evaluation of technologies and business ideas in general; commercializing new technologies; financing through private and public sources; legal issues; product development; marketing; international business issues. Same as TE 460. 1 undergraduate hour. 1 graduate hour. Credit is not given for both ENG 360 and ENG 460."
ENG,461,"Critical factors affecting technology-based ventures: opportunity assessment; the entrepreneurial process; founders and team building; preparation of a business plan including market research, marketing and sales, finance, and manufacturing considerations. Same as TE 461. 3 undergraduate hours. 3 graduate hours. Prerequisite: MATH 231."
ENG,465,"Consulting process, problem definition, project management, technology commercialization, interpersonal skills, human resources management leadership, and followership. Consulting teams formed work directly with a real business client for twelve weeks on a project jointly defined by the client and team. Same as TE 465. Credit is not given for both ENG 465 and BADM 445."
ENG,466,Cornerstone marketing concepts for innovators and engineers to enable analysis of products and technologies from a marketing perspective: engineering product development and adoption life cycle; objectives and strategies; marketing management; communication skills; sales process and tactics; special considerations for new high-tech engineering products and innovations. Same as TE 466. 2 undergraduate hours. 2 graduate hours. Credit is not given for both ENG 466 and BADM 365. Prerequisite: ENG 360.
ENG,471,"Challenges of developing energy systems and civil infrastructure that are sustainable in terms of resource availability, security, and environmental impact. Guest lecturers focus on: (i) global challenges -- future energy demand, geologic sources of energy, climate change, energy-water nexus, energy and security; (ii) markets, policies and systems -- economic incentives, policy and law, life cycle analyses; (iii) opportunities for change -- CO2 sequestration, renewable power, bioenergy feedstocks, biofuels for transportation, energy use in buildings, advanced power conversion, the smart grid. 1 undergraduate hour. 1 graduate hour. Prerequisite: MATH 220 or MATH 221; one of CHEM 104, CHEM 204, PHYS 101, PHYS 211. Recommended: NPRE 201."
ENG,491,"Disciplined, multi-department, team-structured project design experience with an overall (or major phase) end-of-term completion date. Projects involve design specification through a proposal, analyses of cost and other tradeoffs among alternative designs, design review, fabrication and assembly, functional and environmental testing, and demonstrations (as applicable). Reports and presentations at the end of each term. Individual engineering activities as well as team responsibilities. 1 to 4 undergraduate hours. No graduate credit. Senior standing required. May be repeated. Credit toward the degree is determined by the student's major department. Prerequisite: Consent of instructor."
ENG,498,Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites. Approved for both letter and S/U grading. May be repeated in the same or separate terms if topics vary.
ENG,560,Business perspective of managing advanced technology in industry: strategic context of advanced technology; analytical financial tools used to estimate its potential value; legal concepts important in its management; interpersonal issues related to leading and advocating on behalf of advanced technology groups. Same as TE 560.
ENG,565,"Concepts and frameworks for analyzing how firms can create, commercialize and capture value from technology-based products and services. Business, commercialization, and management aspects of technology. Emphasis on reasons that existing firms or startups which have successfully commercialized products or services fail to sustain their success as technology changes and evolves. Same as TE 565. Prerequisite: STAT 400."
ENG,566,Cornerstone financial concepts for engineering management to enable analysis of engineering projects from a financial perspective: income statements; the balance sheet; cash flow statements; corporate organization; the time value of money; net present value; discounted cash flow analysis; portfolio theory. Same as TE 566. Prerequisite: STAT 400.
ENG,567,"Concepts, tools, and language used by venture capitalists (VCs). Venture-scale opportunity assessment and articulation; venture capital financing and valuation; deal structure; term sheets; financial plans for startups; customer development and marketing; product iterations; sales execution. Same as TE 567. Prerequisite: ENG 566."
ENG,571,"Mathematical, scientific, engineering, and economic bases needed to analyze sustainable energy systems and civil infrastructure. Evaluation of current practice and future development of (i) energy extraction and conversion processes from geological, biological, and non-biological resources; (ii) energy usage for transportation, in residential and commercial buildings, and by industry. Prerequisite: Credit or concurrent registration in ENG 471."
ENG,572,"Internship or equivalent experience as it relates to the student's field of study. Student will complete a comprehensive written report, develop a website, and/or give an oral presentation that relates to his/her internship experience. 1 to 8 graduate hours. No professional credit. May be repeated in separate terms to a maximum of 8 hours."
ENG,598,Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary.
ENGL,101,"Close reading and analysis of poetry and other literary texts. Introduction to argumentative strategies for writing about poetry. Addresses prosody, poetic language (diction, metaphor, image, tone), and major verse forms (the sonnet, elegy, ode, ballad, dramatic monologue, free verse). Students also study poems from a range of literary periods and movements to learn how formal qualities change and develop over time and are relevant to everyday life."
ENGL,102,"Explores such topics as the history of dramatic form, the major dramatic genres, the dramatic traditions of various cultures, and key terms used in the analysis of dramatic works. Reading plays from the ancient Greeks to the contemporary theatre, students will be taught skills in close reading and literary interpretation. Students will consider the importance of performance, considering how meanings might be represented through visual and aural means."
ENGL,103,"An introduction to the study of literature and literary history at the university level. Explores such topics as: the historical role and place of fictional narratives, the idea of genre, relationships between context and meaning in fictional works. Student will develop a critical vocabulary for interpreting and analyzing narrative strategies. Credit is not given for both ENGL 103 and ENGL 109."
ENGL,104,"Thoughtful viewing of diverse films (in required weekly screenings), along with ample discussion and critical reading and writing, to gain understanding of cinematic expression and of film's capacity to entertain and to exert artistic and social influence. Same as MACS 104."
ENGL,106,"Understanding of the relationship between literature and human experience through the study of significant, recurrent themes. May be repeated one time if topics vary."
ENGL,109,"Introduction to critical analysis of prose fiction. Explores a wide range of short and long fiction across historical periods; examines narrative strategies such as plot, character, and point of view. Special emphasis placed on good literary critical writing. Course is similar to ENGL 103 except for the additional writing component. Credit is not given for both ENGL 109 and ENGL 103. Prerequisite: Completion of campus Composition I general education requirement."
ENGL,115,"Acquaints students with the rich diversity of British prose, poetry, and drama. As a basic introduction to English literature, the course explores a series of literary texts, often thematically related, which appeal to modern readers and at the same time provide interesting insights into the cultural attitudes and values of the periods which produced them."
ENGL,116,"American literature speaks in distinctive dialects that pre-date the arrival of European explorers in the Renaissance, range across centuries and continents, and intermingle a rich variety of racial, ethnic, and gendered perspectives. Genres examined in this course might include lyric poems, dystopian novels, horror stories, seduction narratives, slave narratives, political speeches, or postmodern plays. Writers studied might include Walt Whitman, Columbus, Jane Johnston Schoolcraft, Herman Melville, Edgar Allan Poe, Junot Díaz, Harriet Beecher Stowe, David Foster Wallace, Martin Luther King, and Lin-Manuel Miranda."
ENGL,117,"Explores the ongoing reinterpretation and appropriation of Shakespeare plays in twentieth- and twenty-first century film. Expect to read around five plays and analyze two productions of each play, and to consider how Shakespeare can be transformed to meet different cultural and contextual demands of the screen. Lecture and discussion. Same as MACS 117."
ENGL,119,"Introduction to the rich traditions of fantasy writing in world literature. While the commercial category of fantasy post-Tolkien will often be the focal point, individual instructors may choose to focus on alternate definitions of the genre: literatures of the fantastic, the uncanny, and the weird; fantasy before the Enlightenment and the advent of realism; fantasy for young adult or child readers; and so on. Same as CWL 119."
ENGL,120,"Introduction to the study of science fiction, the genre that has both contributed to scientific knowledge and attempted to make sense of the changes that have taken place in the world since the Enlightenment, the onset of industrialization, and the acceleration of technology. Texts are taken from a variety of literary and pop culture sources: pulps and magazines, novels and films, comics and TV shows."
ENGL,121,"Introduction to graphic narratives---comic books, comic strips, graphic novels, manga, webcomics, and so on---from a diverse panoply of cultural, formal, and historical traditions."
ENGL,122,"Explores the use of medievalism in contemporary popular culture. Instructors may draw from film, television, music, fiction, graphic novels, gaming, and other sources, and they approach the material from a variety of cultural, historical, and aesthetic traditions. The goal of the course will be to understand how the medieval periods of world cultures have been reinvented in modern times, and how modernity has been constructed in relation and in opposition to the medieval imaginary. Same as MDVL 122."
ENGL,199,Topics course that varies each semester and by section. The topics offered each semester will be listed in the Class Schedule. Approved for letter and S/U grading. May be repeated.
ENGL,200,"Introduction to the study of literature in the twenty-first century. This course will expand your sense of what literature is and where it happens, including discussion of old and new literary forms (from novels, poems, and plays to comic books, video games, and films). Along the way, students will explore some of the literary and cultural opportunities (such as author readings, scholarly talks, and performances) available to them on a large public university campus, with two goals in mind: to develop your critical interpretive skills and to acquaint you with the discipline of literary studies as it is being practiced all around us today, both inside and outside the conventional classroom."
ENGL,202,"Introduction to the diverse literatures and cultures of the global Middle Ages (approximately 500-1500 CE). Students will read works by medieval authors in Modern English translation, with particular attention to placing works in their historical and material contexts. Same as CWL 253 and MDVL 201. Prerequisite: Completion of the Composition I requirement."
ENGL,204,Readings in English and continental literary masterpieces with attention to significant cultural influences. Same as CWL 255. Prerequisite: Completion of the Composition I requirement.
ENGL,206,"Study in Anglophone and global texts from the period 1600 to 1800, with attention to cultural and historical contexts. Same as CWL 257. Prerequisite: Completion of the Composition I requirement."
ENGL,207,"An introduction to the literature, philosophy, fine arts, and social criticism of the Romantic era, with attention to broader cultural and historical issues. Prerequisite: Completion of the Composition I requirement."
ENGL,208,"While Queen Victoria was on the throne (1837-1901), Britain became a world power, but often looked backwards to the lovely worlds of the past. Many of the era’s great literary works reflect this tension between realism and romance: between the realism of being a poor governess and the romance of finding true love in Jane Eyre; the tragedy of losing your best friend and the hope of emotional survival in In Memoriam; the practical work of building a useful device and the fantasy of visiting the dystopian future in The Time Machine. Literature studied in this class will include poetry, prose, drama, and fiction, possibly including works by Charlotte Brontë, Charles Dickens, Elizabeth Gaskell, Mary Seacole, Thomas Carlyle, Alfred Tennyson, Robert Browning, Christina Rossetti, William Morris, Oscar Wilde, H.G. Wells, Olive Schreiner, or George Bernard Shaw. Prerequisite: Completion of the Composition I requirement."
ENGL,210,Historical and critical study of selected works of British literature after 1800 in chronological sequence. For majors only. Prerequisite: Completion of the Composition I requirement and ENGL 200.
ENGL,213,"Study of literature, philosophy, visual and performing arts, social criticism, and popular sciences of the Anglo-American modernist period (approximately 1900-1950), with attention to broad cultural issues. Prerequisite: Completion of the Composition I requirement."
ENGL,216,"Arthurian myth and legend is one of the most enduring literary traditions of Western Europe, and the characters of Arthur, Merlin, Guinevere, Lancelot, Gawain and Mordred were as popular in the Middle Ages as they are today. Originating in early medieval Wales, the legends traveled through England to France and Germany and throughout the modern world. Students will study the development of the Arthurian tradition in chronicles, poetry, romances, lais, and fabliaux, comparing variations across cultural and historical boundaries. Same as CWL 216 and MDVL 216. Prerequisite: Completion of the Composition I requirement."
ENGL,218,"Representative readings of Shakespeare's drama and poetry in the context of his age, with emphasis on major plays; selections vary from section to section. Prerequisite: Completion of the Composition I requirement."
ENGL,219,"Introduction to the interchange between the medical and literary imaginations – how diseases, bodies, and minds get written about and represented culturally. The premise of the course is that ideas and experiences concerning our health are always mediated through the literature we read, the films we watch, and the stories we tell our doctors and that they tell us. Our focus will be on how literature and film have played and continue to play a crucial role in understanding health on local, national, and global scales."
ENGL,220,"Explores the mutual influences of science and literature in some key literary and non-literary texts. Covers scientific texts, literary works, and cultural theory to explore how and why scientific knowledge is intimately linked to literature."
ENGL,221,"Introduces majors and non-majors to several important conversations arising from the expansive genre of speculative fiction. In this course students will explore some of the most profound, disturbing, and downright bizarre imaginings of the future that human beings have generated. Climate change, ageing, fascist regimes, reproductive rights, technological failures, scientific advancements, and apocalypse are just a few of the possible topics for this class. Course materials will be drawn from literary works, contemporary and historical scientific developments, and cultural theory to explore how and why speculative futures are linked to specific cultural contexts, technologies, and social schemes."
ENGL,241,"An inquiry into some of the more complex and innovative poetry written in English. Students will read poets such as Frost, Robinson, Sandburg, Lindsay, Hardy, Hopkins, Housman, Yeats, Lawrence, the Imagists, and the early Pound and Eliot. Prerequisite: Completion of the Composition I requirement."
ENGL,242,"Explores the diversity of poetry in English from 1960 to the present, focusing on various poetic movements (the Beats, confessionals, New York school, ecopoetics, postcolonial poetry, poetry of witness, and spoken word). Poets for consideration include Allen Ginsberg, Sylvia Plath, Adrienne Rich, Frank O’Hara, Gary Snyder, Derek Walcott, Carolyn Forché, Sharon Olds, Rita Dove, and Mark Doty. Prerequisite: Completion of the Composition I requirement."
ENGL,245,Historical and critical study of the short story (American and European) from the early nineteenth century to the present. Same as CWL 267. Prerequisite: Completion of the Composition I requirement.
ENGL,247,A study of some of the more noteworthy and influential writers of the last two hundred and fifty years. The course traces the development of the novel as a genre that both celebrated and critiqued Britain and British nationalism. Examines how the novel has been important culturally over time. Prerequisite: Completion of the Composition I requirement.
ENGL,248,"Examination of important thematic and structural relationships - influences, parallels, and variations - among selected major works of the nineteenth and twentieth centuries; readings chosen from works of Bronte, Hardy, Lawrence, Woolf, James, Faulkner, Bellow, Oates, Dostoevsky, Tolstoy, Stendhal, Flaubert, Camus, Kafka, Mann, Hesse, Moravia, and Pavese. All works read in English. Same as CWL 269. Prerequisite: Completion of the Composition I requirement."
ENGL,250,"Nineteenth-century fiction gave us some of the most iconic images in American culture--the scarlet letter, the white whale--and some of the most captivating works about American life and society. This course will explore how fictional texts articulated the problems of nineteenth-century democracy, including the crises over slavery leading to the Civil War, and the rise of large-scale capitalism and urban modernity later in the century. We will look at such literary movements as sentimentalism, sensationalism, realism, and naturalism, among others. Writers studied might include Herman Melville, Edith Wharton, Nathaniel Hawthorne, Harriet Beecher Stowe, Henry James, Charles Chesnutt, Mark Twain, Pauline Hopkins, Catharine Maria Sedgwick, and many others. Prerequisite: Completion of the Composition I requirement."
ENGL,251,Critical study of selected American novels from the twentieth century. Prerequisite: Completion of the Composition I requirement.
ENGL,253,"Introduction to the role technological invention has played in history of print media and how literary aesthetics are changing with the advent of new media, such as software, video games, and graphic novels. We will consider material formats, genres, and modes of production along with the cultural, political, and societal implications of different forms and formats. May be repeated in separate terms up to 6 hours."
ENGL,256,American literature and its cultural backgrounds after 1870. Prerequisite: Completion of the Composition I requirement and ENGL 200.
ENGL,259,"An introduction to the study of early African American literary and cultural production, ranging from the earliest writings by African descended people in British North America in the eighteenth century to the end of World War I. At each turn, we will situate texts in their cultural and historical contexts, attending not only to the specificity of a particular text's moment, but also to the forces of contingency and tradition at play in the construction of literary, cultural, and political communities. Throughout our discussions we will think about both the ""African-ness"" and ""American-ness"" of African American literature as collective and imaginative processes. Early African Americans wrote for a variety of reasons—philosophical, political, pleasurable, instrumental—and protesting slavery and racism was just one (albeit an important one) among many of those reasons. We will read letters, poems, sermons, songs, constitutions and bylaws for religious and civic organizations, stories, and texts that defy easy categorization. Writers may include Phillis Wheatley, David Walker, Maria Stewart, Frederick Douglass, Harriet Jacobs, Frances E.W. Harper, William Wells Brown, W.E.B. Du Bois, Pauline Hopkins, Charles Chesnutt, Paul Lawrence Dunbar, Alice Dunbar Nelson, and Ida B. Wells. Same as AFRO 259 and CWL 259. Prerequisite: Completion of the Composition I requirement."
ENGL,260,Historical and critical study of African American literature in its social and cultural context between 1915 and 1980. Same as AFRO 260 and CWL 260. Prerequisite: Completion of the Composition I requirement.
ENGL,261,"Introductory study of variety of topics in literature and culture, including those that bridge traditional historical periods, focus on themes or movements, and cross disciplinary boundaries. May be repeated up to 6 hours in same or separate terms if topics vary. Prerequisite: Completion of the Composition I requirement."
ENGL,270,"Introduction to the study of the dominant genres or types U.S. cinema. Examines the elements that constitute genres (such as visual and narrative patterns), the formation and reshaping of genres by filmmakers and the entertainment industry, the social and cultural factors that influence the genre cycles and subgenres, and the landmark works of each genre. The course treats several genres in historical perspective or focus on a single genre. May be repeated in separate terms up to 6 hours if topics vary."
ENGL,272,"Addresses how a range of films made in the United States have represented diverse ethnicities and cultures in relation to each other and to dominant American media conventions and social ideas. A comparative, case study approach examines racial and gender stereotyping, historical and economic factors, and reactions of various audiences to the films. Same as AFRO 272. Prerequisite: Fulfillment of the Composition I English requirement; sophomore standing or above."
ENGL,273,"Explores key issues in America cinema during the second half of the twentieth century, connecting central problems of film studies (e.g., authorship, genre, narratology, style, gender analysis, and the spectacle of violence) to moments of major transition in the American film industry (e.g., the Red Scare and the end of the Production Code in the 1950s; the emergence of the New Hollywood and the breakdown of the studio system in the 1960s; and the rise of the mega-blockbuster in the 1970s). Same as MACS 273. Prerequisite: Completion of the Composition I requirement."
ENGL,274,Major literary works presented within the context of social issues of their time. May be repeated with the permission of English advising office to a maximum of 6 hours if topics vary. Prerequisite: Completion of the Composition I requirement.
ENGL,276,"Studies a variable selection of popular film genres produced and circulated in Asia (e.g., martial arts, horror, musicals, anime, melodramas, science fiction, monster movies, comedy) that have an impact across the region, with emphasis on East and Southeast Asia, and beyond. Takes a historical and transnational comparative approach to analyzing shifting narrative and visual and other cinematic realizations of each genre across different contexts, including Western reception and cross-cultural adaptations. Same as CWL 276 and EALC 276."
ENGL,280,Study of British and American women authors. Same as GWS 280. May be repeated with permission of English advising office to a maximum of 6 hours if topics vary. Prerequisite: Completion of the Composition I requirement.
ENGL,281,"Study of the way writers of all genders have portrayed women's images, social roles, and psychologies in British, American, or Anglophone literatures. Same as GWS 281. May be repeated in separate semesters to a maximum of 6 hours if topics vary; with permission from English advising office. Prerequisite: Completion of the Composition I requirement."
ENGL,285,"Examination of selected postcolonial literature, theory, and film as texts that ""write back"" to dominant European representations of power, identity, gender and the Other. Postcolonial writers, critics and filmmakers studied may include Franz Fanon, Edward Said, Aime Cesaire, Ousmane Sembene, Chinua Achebe, Michelle Cliff, Mahesweta Devi, Buchi Emecheta, Derek Walcott and Marlene Nourbese-Philip. Prerequisite: Completion of the Composition I requirement."
ENGL,286,"Introduction to Asian American literary studies and culture through the reading of major works of literature selected from but not limited to the following American ethnic subgroups: Chinese, Filipino, Japanese, Korean, Indian, Pakistani, and Vietnamese. Same as AAS 286. Prerequisite: Completion of the Composition I requirement."
ENGL,300,"Writing-intensive, variable topic course designed to improve English majors' ability to write clear, well-organized, analytically sound and persuasively argued essays relevant to literary studies. Introduces students to some strategies of literary criticism and research through examination of critical texts appropriate to course topic. For majors only. Prerequisite: Completion of the Composition I requirement; one year of college literature or consent of instructor."
ENGL,301,"Introduction to the critical frameworks and methods that have had the greatest impact on the field of literary studies. Students will read, discuss, and write about numerous theoretical approaches, which might include (but are not limited to) critical race studies, environmental theory, feminism, Marxism, postcolonialism, poststructuralism, psychoanalysis, queer theory, and structuralism. No previous background with theory is required. Prerequisite: Completion of the Composition I requirement; one year of college literature or consent of instructor. Restricted to English majors."
ENGL,310,"Topics in the study of the English language, with emphasis on one or more of the following: the social, political, historical, technological, legal, and economic aspects of language use. Credit is not given for both ENGL 311 and ENGL 310."
ENGL,325,"Explores topics on representations of non-heteronormative sexuality in canonical and recovered historical texts and in contemporary literature, on literature by LGBT authors, and on theories of sexuality that pertain to systems of textual and cultural meaning. May be repeated in separate terms to a maximum of 6 hours, if topics vary."
ENGL,330,"Explores slavery in the Americas through its representation in literature over time. Using a variety of disciplinary approaches, we will look at the enslaved, the enslavers, and the middle merchants who facilitated the slave trade, and will examine the experience of slavery and the economic, political, religious, and scientific justifications used to maintain it. We will also examine the African cultural traditions from which the slaves emerged and the aspects of it that lent to creation of the new U.S. culture."
ENGL,350,"Writing-intensive, variable-topic course designed to improve English majors' ability to produce clear, well-organized, analytically sound and persuasively argued essays relevant to English studies. Introduces students to research techniques through the examination of critical texts appropriate to the course topic. Credit is not given for ENGL 300 and ENGL 350. Prerequisite: Completion of the Composition I requirement; one year of college literature or consent of instructor. For majors only."
ENGL,373,"Extended investigation of major subjects and issues in cinema and other media; topics vary and typically include studies of author/directors, genres, historical movements, critical approaches, and themes. Same as MACS 373. May be repeated with permission of English advising office to a maximum of 6 hours if topics vary. Prerequisite: One college-level course in film studies or literature."
ENGL,380,"Advanced-level work in the field of Writing Studies. Building upon a traditional disciplinary understanding of writing as rhetoric, this course invites students to call upon sociological, anthropological, and/or ideological approaches to the study of writing in order to understand the myriad ways that writing makes meaning(s). See Class Schedule for topics. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: Completion of the Composition I requirement."
ENGL,401,Language theories and modes of language study applied to English. 3 undergraduate hours. 4 graduate hours.
ENGL,402,"An introduction to English linguistics with emphasis on the phonetic, syntactic, and semantic structures of English; language variation, standardization, and change; language legislation and linguistic rights; English as a world language; and the study of language in American schools. Same as BTW 402. 3 undergraduate hours. 4 graduate hours."
ENGL,403,"Language variation and change from the earliest forms of English to the present day, with emphasis on the rise of Standard English and the social, geographic, and cultural aspects of linguistic change in English. 3 undergraduate hours. 4 graduate hours."
ENGL,407,"Introduction to the form of English spoken and written prior to about AD 1100. Exploring concepts of cultural, historical, and linguistic change, students will learn to read Old English texts in the original. Readings include examples from the prose tradition (e.g., Bede's story of the poet Caedmon and the Anglo-Saxon Chronicle) as well as poetic texts (e.g., The Dream of the Rood and The Wanderer). Same as MDVL 407. 3 undergraduate hours. 4 graduate hours."
ENGL,411,"A selection of Chaucer's major works read in Middle English. Instructors will usually emphasize either the Canterbury Tales or Troilus and Criseyde and the dream visions, but alternate combinations of texts are possible. Students will also be introduced to Chaucer's fourteenth-century context. Same as MDVL 411. 3 undergraduate hours. 4 graduate hours. Prerequisite: One year of college literature or consent of instructor."
